index,x,y,z
1,-83.6358901331,210.6703141636,537.2353804364
2,3.3320105757,220.0434490667,496.8032379804
3,10.5909799924,220.8257986353,493.4284792113
4,163.6697730725,237.3241637408,422.2608010408
5,173.3267902347,238.3649675763,417.7711687694
